,sleepSummaryId,calendarDate,timezoneOffsetInMs,unixTimestampInMs,isoDate,durationInMs,unmeasurableSleepDurationInMs,deepSleepDurationInMs,lightSleepDurationInMs,remSleepDurationInMs,awakeDurationInMs,overallSleepQualifier,overallSleepScore,validation
0,x35bda69-64adbe98-6ae0,2023-07-12,7200000,1689108120000,2023-07-11 22:42:00,27360000,0,4500000,19140000,3720000,0,,-1,ENHANCED_TENTATIVE
1,x35bda69-64af1fcc-6324,2023-07-13,7200000,1689198540000,2023-07-12 23:49:00,25380000,0,6420000,14100000,4860000,120000,,-1,ENHANCED_FINAL
2,x35bda69-64b07d04-576c,2023-07-14,7200000,1689287940000,2023-07-14 00:39:00,22380000,0,3720000,12060000,6600000,60000,,-1,ENHANCED_FINAL
3,x35bda69-64b1cb78-5eec,2023-07-15,7200000,1689373560000,2023-07-15 00:26:00,24300000,0,4320000,15840000,4140000,1140000,,-1,ENHANCED_FINAL
4,x35bda69-64b302f4-7170,2023-07-16,7200000,1689453300000,2023-07-15 22:35:00,29040000,0,3720000,19680000,5640000,900000,,-1,ENHANCED_FINAL
5,x35bda69-64b45e10-6b1c,2023-07-17,7200000,1689542160000,2023-07-16 23:16:00,27420000,0,7200000,14640000,5580000,60000,,-1,ENHANCED_FINAL
6,x35bda69-64b5a900-7170,2023-07-18,7200000,1689626880000,2023-07-17 22:48:00,29040000,0,5280000,17160000,5940000,120000,,-1,ENHANCED_TENTATIVE
7,x35bda69-64b83bd4-783c,2023-07-20,7200000,1689795540000,2023-07-19 21:39:00,30780000,0,0,22440000,8340000,600000,,-1,ENHANCED_FINAL
8,x35bda69-64b99768-7170,2023-07-21,7200000,1689884520000,2023-07-20 22:22:00,29040000,0,1560000,16920000,10560000,120000,,-1,ENHANCED_FINAL
9,x35bda69-64baf5cc-6414,2023-07-22,7200000,1689974220000,2023-07-21 23:17:00,25620000,0,3840000,15300000,6480000,240000,,-1,ENHANCED_FINAL
10,x35bda69-64bc4260-7314,2023-07-23,7200000,1690059360000,2023-07-22 22:56:00,29460000,0,2280000,17160000,10020000,60000,,-1,ENHANCED_FINAL
11,x35bda69-64bd950c-6bd0,2023-07-24,7200000,1690146060000,2023-07-23 23:01:00,27600000,0,3240000,16500000,7860000,60000,,-1,ENHANCED_TENTATIVE
12,x35bda69-64bef064-5d84,2023-07-25,7200000,1690234980000,2023-07-24 23:43:00,23940000,0,2940000,13680000,7320000,120000,,-1,ENHANCED_FINAL
13,x35bda69-64c0371c-69f0,2023-07-26,7200000,1690318620000,2023-07-25 22:57:00,27120000,0,5400000,10800000,10920000,120000,,-1,ENHANCED_FINAL
14,x35bda69-64c18d10-6a68,2023-07-27,7200000,1690406160000,2023-07-26 23:16:00,27240000,0,6180000,18240000,2820000,180000,,-1,ENHANCED_TENTATIVE
15,x35bda69-64c2e8e0-6270,2023-07-28,7200000,1690495200000,2023-07-28 00:00:00,25200000,0,5520000,15840000,3840000,120000,,-1,ENHANCED_TENTATIVE
16,x35bda69-64c4313c-7080,2023-07-29,7200000,1690579260000,2023-07-28 23:21:00,28800000,0,4680000,14820000,9300000,60000,,-1,ENHANCED_FINAL
17,x35bda69-64c57c68-7620,2023-07-30,7200000,1690664040000,2023-07-29 22:54:00,30240000,0,600000,18540000,11100000,240000,,-1,ENHANCED_FINAL
18,x35bda69-64c6ce60-6888,2023-07-31,7200000,1690750560000,2023-07-30 22:56:00,26760000,0,3240000,15420000,8100000,300000,,-1,ENHANCED_TENTATIVE
19,x35bda69-64c82ae4-729c,2023-08-01,7200000,1690839780000,2023-07-31 23:43:00,29340000,0,3780000,17280000,8280000,0,,-1,ENHANCED_TENTATIVE
20,x35bda69-64c97ac0-6a2c,2023-08-02,7200000,1690925760000,2023-08-01 23:36:00,27180000,0,2520000,18120000,6540000,0,,-1,ENHANCED_FINAL
21,x35bda69-64cac6a0-6450,2023-08-03,7200000,1691010720000,2023-08-02 23:12:00,25680000,0,2820000,17040000,5820000,300000,,-1,ENHANCED_FINAL
22,x35bda69-64cc1fdc-6810,2023-08-04,7200000,1691099100000,2023-08-03 23:45:00,26640000,0,5040000,15480000,6120000,240000,,-1,ENHANCED_TENTATIVE
23,x35bda69-64cd73b4-68c4,2023-08-05,7200000,1691186100000,2023-08-04 23:55:00,26820000,0,4080000,16380000,6360000,180000,,-1,ENHANCED_FINAL
24,x35bda69-64ceb9b8-6e64,2023-08-06,7200000,1691269560000,2023-08-05 23:06:00,28260000,0,2100000,17640000,8520000,120000,,-1,ENHANCED_FINAL
25,x35bda69-64d00f70-6f90,2023-08-07,7200000,1691357040000,2023-08-06 23:24:00,28560000,0,2040000,19140000,7380000,0,,-1,ENHANCED_FINAL
26,x35bda69-64d159ac-76d4,2023-08-08,7200000,1691441580000,2023-08-07 22:53:00,30420000,0,1200000,25500000,3720000,180000,,-1,ENHANCED_FINAL
27,x35bda69-64d2b66c-6d38,2023-08-09,7200000,1691530860000,2023-08-08 23:41:00,27960000,0,5340000,17040000,5580000,300000,,-1,ENHANCED_FINAL
28,x35bda69-64d40684-76d4,2023-08-10,7200000,1691616900000,2023-08-09 23:35:00,30420000,0,5640000,16860000,7920000,60000,,-1,ENHANCED_FINAL
29,x35bda69-64d5587c-6edc,2023-08-11,7200000,1691703420000,2023-08-10 23:37:00,28380000,0,2280000,18060000,8040000,180000,,-1,ENHANCED_FINAL
30,x35bda69-64d6b3d4-6810,2023-08-12,7200000,1691792340000,2023-08-12 00:19:00,26640000,0,7080000,14220000,5340000,240000,,-1,ENHANCED_FINAL
31,x35bda69-64d7ffb4-6c84,2023-08-13,7200000,1691877300000,2023-08-12 23:55:00,27780000,0,5700000,16020000,4440000,180000,,-1,ENHANCED_FINAL
32,x35bda69-64d95134-6c84,2023-08-14,7200000,1691963700000,2023-08-13 23:55:00,27780000,0,1500000,21840000,4440000,420000,,-1,ENHANCED_FINAL
33,x35bda69-64daaa70-68c4,2023-08-15,7200000,1692052080000,2023-08-15 00:28:00,26820000,0,3180000,16740000,6900000,60000,,-1,ENHANCED_FINAL
34,x35bda69-64dbf4ac-5e74,2023-08-16,7200000,1692136620000,2023-08-15 23:57:00,24180000,0,120000,18180000,5880000,480000,,-1,ENHANCED_FINAL
35,x35bda69-64dd4140-6fcc,2023-08-17,7200000,1692221760000,2023-08-16 23:36:00,28620000,0,4980000,16980000,6660000,120000,,-1,ENHANCED_FINAL
36,x35bda69-64de99c8-63d8,2023-08-18,7200000,1692309960000,2023-08-18 00:06:00,25560000,0,1800000,17400000,6360000,300000,,-1,ENHANCED_FINAL
37,x35bda69-64dfe788-459c,2023-08-19,7200000,1692395400000,2023-08-18 23:50:00,17820000,0,4020000,11460000,2340000,180000,,-1,ENHANCED_FINAL
38,x35bda69-64e1323c-7440,2023-08-20,7200000,1692480060000,2023-08-19 23:21:00,29760000,0,1980000,20040000,7740000,180000,,-1,ENHANCED_FINAL
39,x35bda69-64e283f8-7260,2023-08-21,7200000,1692566520000,2023-08-20 23:22:00,29280000,0,3240000,22440000,3600000,60000,,-1,ENHANCED_FINAL
40,x35bda69-64e3d848-7314,2023-08-22,7200000,1692653640000,2023-08-21 23:34:00,29460000,0,4980000,18300000,6180000,0,,-1,ENHANCED_FINAL
41,x35bda69-64e52644-74b8,2023-08-23,7200000,1692739140000,2023-08-22 23:19:00,29880000,0,2280000,19320000,8280000,660000,,-1,ENHANCED_TENTATIVE
42,x35bda69-64e672d8-7c38,2023-08-24,7200000,1692824280000,2023-08-23 22:58:00,31800000,0,2940000,21480000,7380000,180000,,-1,ENHANCED_FINAL
